id,name,address,regionDepth1,regionDepth2,lat,lng,hallType,subTypes_json,mealCost,mealCostMin,mealCostMax,guarantee,guaranteeMin,guaranteeMax,interval,intervalMinutes,venueFee,rentalCostMin,rentalCostMax,phone,website,source_url,source
12,그랜드힐컨벤션,서울 강남구 대치동 1004-1,,,37.50607083859111,127.0667282753508,컨벤션 웨딩홀,[],"93,000원~130,000원(퓨전 한식·양식 A/B 코스, 부가세·봉사료 포함).",93000,130000,좌석 기준 200석~600석 이상(최대 1000석까지 배치 가능하다는 후기).,200,250,타임별 하나의 예식,,,,,02-6964-7889,http://grandhill.co.kr/,https://www.weddic.com/,weddic
13,헤리스가든,제주특별자치도 제주시 오등동 405,,,33.46292161058288,126.5324310607102,야외 웨딩홀,[],"보증인원 300명 기준 77,000원, 오픈 프로모션 시 호텔식 뷔페 10,000원 할인.",77000,77000,"보증인원 300명 기준 77,000원, 오픈 프로모션 시 호텔식 뷔페 10,000원 할인.",300,300,정보 준비중,,오픈 프로모션 시 20% 할인 적용.,20,,064-900-1716,https://www.instagram.com/heritiquejeju,https://www.weddic.com/,weddic
14,노팅힐웨딩컨벤션,제주특별자치도 제주시 도두일동 2325,,,33.4944130425017,126.469427403313,컨벤션 웨딩홀,[],"뷔페 기준 1인 27,000원~32,000원 선(웨딩홀릭 기준).",27000,32000,최소 보증인원 500명(한상차림·뷔페 모두 500명 기준 식대 안내).,500,500,"1시간 단위 (10시,11시,12시 연달아)",60,"홀 대관료 약 1,000,000원, 부가세 10% 별도, 원판사진 별도(블로그 견적 기준).",10,1000000,0502-5552-9212,https://nottinghilljeju.com,https://www.weddic.com/,weddic
15,더컨벤션제주,제주특별자치도 제주시 오라이동 1758,,,33.48245738748204,126.5093377367107,컨벤션 웨딩홀,[],구체적인 정보 부족.,,,구체적인 정보 부족.,,,정보 준비중,,구체적인 정보 부족.,,,,https://blog.naver.com/the_convention_jeju,https://www.weddic.com/,weddic
16,해담헌,광주 남구 사동 143,,,35.14454265578863,126.9115567501005,한옥 웨딩홀,[],"뷔페 1인 45,000원(기본 구성), 40명 구성 시 1인 50,000원 옵션, 한정식 코스·경양식·케이터링 선택 가능.",45000,45000,"더플래너 기준 약 100명 규모 스몰웨딩 베뉴로 소개, 블로그 후기에는 100~150명 정도까지 가능하다고 기재(정확 인원은 상담 필요).",100,150,예식+식사 2시간,120,"대관+연출 패키지(예식 기준) 3,300,000원(더플래너 – 대관료 3,300,000원, 연출·생화 포함, 음주류·원판·스냅 제외).",3300000,3300000,062-233-8388,http://www.haedam.asia,https://www.weddic.com/,weddic
17,빌라드지디 청담,서울 강남구 학동로 519,,,37.52018639324501,127.0554514612461,웨딩홀,[],"130,000원~170,000원(양식 코스 A 130,000원 등, 음주류 당일소모량 별도).",130000,170000,"최소 150~200명~300명(300명 기준 견적 다수, 최대 수용 380명, 1층 198석·2층 190석).",190,380,하루 3회,,"900만원~1,500만원~(꽃장식 별도 700만원~1,000만원~).",,,02-542-7513,http://www.chungdamvilladegd.com/,https://www.weddic.com/,weddic
18,아라캐슬웨딩홀,제주특별자치도 제주시 아라일동 2333-2,,,33.4783745262995,126.543433973458,웨딩홀,[],"기본 한상차림 식대 1인 35,000원, 구성(성게국, 돼지고기, 사시미, 소불고기, 찹쌀순대, 두부, 떡, 탕수육, 기본반찬 5종)으로 안내, 식대에 주류·음료 포함, 200명 이상·이하는 3,000원 정도 차이 발생.",35000,35000,"최소 보증인원 200명 기준으로 계약 진행, 홀 최대 수용인원은 예식홀 120석, 피로연장은 2층 전체 사용 시 동시 250명 정도 수용 가능(피로연장 총 4곳, 1·2층 봉황실·공작실, 3층 웨딩홀 맞은편 등).",120,250,"하루 3팀 진행 (11시, 12시, 13시)",,"대관료 1,000,000원, 특수조명·빔스크린 제공, 예식 원판 촬영 포함(고급앨범 3권, 완판 사진 6판 포함), 대본·혼인서약서·성혼선언문·봉투·포토테이블 제공.",1000000,1000000,010-7234-3339,https://www.instagram.com/ara_castle_jeju,https://www.weddic.com/,weddic
19,미래컨벤션센터,제주특별자치도 제주시 용담일동 248-5,,,33.5066322751413,126.514498567455,컨벤션 웨딩홀,[],"제주 웨딩홀 비교 글에서 “단독홀·대관료 2,000,000원·보증 250명·식대 60,000원(주류·음료 불포함)”이라는 상담 기준이 소개되지만, 공식 사이트에 금액이 명시되어 있지는 않아 현재 기준 정확 수치로 보기에는 한계.",60000,60000,"제주 웨딩홀 비교 글에서 “단독홀·대관료 2,000,000원·보증 250명·식대 60,000원(주류·음료 불포함)”이라는 상담 기준이 소개되지만, 공식 사이트에 금액이 명시되어 있지는 않아 현재 기준 정확 수치로 보기에는 한계.",250,250,70분,70,"상담 기준 “대관료 2,000,000원”이라는 언급 외에, 요일·타임·보증 인원에 따른 상세 대관료 체계는 공개 정보 부족.",2000000,,064-723-1000,http://mrcc.co.kr,https://www.weddic.com/,weddic
20,전원예식장,제주특별자치도 제주시 이도이동 321,,,33.5034079998786,126.538997804595,웨딩홀,[],"1인 식대 금액 구체적인 수치 정보 부족(계약 후기에서 “식당 사용 10시~18시, 식대 n만원”으로만 언급).",100000,100000,"식당은 300명 이상부터 양쪽 홀(2곳) 모두 사용 가능하다는 계약 내용 외에, 최소 보증인원에 대한 구체적인 숫자 정보 부족.",300,300,정보 준비중,,"대관료+원판사진 패키지(n만원, 원판 6장·앨범 3권 제공, 추가 1장당 5만원)이라는 구조만 언급되고, 정확한 대관료 금액 수치는 온라인에 공개된 정보 부족.",1,6,064-752-5501,,https://www.weddic.com/,weddic
21,제주정원,제주특별자치도 제주시 구좌읍 송당리 1473-2,,,33.47007466083094,126.783184460933,야외 웨딩홀,[],"케이터링 여부·업체 선택에 따라 상이, 기본 스몰웨딩 패키지에 식사가 포함되지 않고, 별도 케이터링(5만 원 이상 수준) 또는 인근 식당 연계로 구성하는 구조라 1인 식대 정확 금액 정보는 부족.",50000,70000,"기본 수용 인원 30~50명, 최대 60명까지 가능(30명 기준 패키지 가격 제시).",30,60,정보 준비중,,"30명 기준 3,900,000원 스몰웨딩 패키지(대관료/조화 꾸밈/헤어&메이크업/드레스(신랑·신부)/본식 촬영 및 앨범/부케 등 포함), 혼주 1인당 180,000원 옵션.",30,3900000,064-742-9588,https://jejugarden.creatorlink.net,https://www.weddic.com/,weddic
