name,region,tags,thumb,url,idx
CJB웨딩컨벤션,충북 청주시,,https://weddingcrowd.kr/data/hall/2406/20210422112321_58.jpg,https://weddingcrowd.kr/hall/view.php?idx=1381,1381
W힐스컨벤션,경기도 성남시,W힐스컨벤션|성남추천웨딩홀|컨벤션웨딩홀|단독웨딩홀|경기웨딩홀|만족도높은웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2507/20250721032054_615263_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=131,131
노블발렌티 삼성점,서울시 강남구,노블발렌티삼성|강남웨딩홀|인기웨딩홀|채플홀|단독홀|양식코스|분리예식|하우스웨딩|강남예식장|강남결혼식장|강남웨딩홀추천|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422133105_76.jpg,https://weddingcrowd.kr/hall/view.php?idx=817,817
더뉴컨벤션웨딩,서울 강서구,더뉴컨벤션웨딩홀|강서구인기웨딩홀|컨벤션웨딩홀|서울웨딩홀|추천웨딩홀|가든웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2409/20240912045542_715209_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1442,1442
더빈컨벤션웨딩홀,충북 청주시,,https://weddingcrowd.kr/data/hall/2406/20220928105359_더빈8.jpg,https://weddingcrowd.kr/hall/view.php?idx=1132,1132
더화이트베일,,더화이트베일|서초웨딩홀|한정식웨딩홀|터미널부근웨딩홀|우아한웨딩홀|스타일웨딩홀|맞춤웨딩홀|교통편좋은웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20221102154011_더화11.jpg,https://weddingcrowd.kr/hall/view.php?idx=242,242
데일리웨딩컨벤션,광주 서구,,https://weddingcrowd.kr/data/hall/2406/20221014105444_데일리2.jpg,https://weddingcrowd.kr/hall/view.php?idx=1272,1272
라루체 명동,서울특별시 중구,라루체|유럽풍웨딩홀|컨셉웨딩홀|명동인기웨딩홀|중구웨딩홀|서울웨딩홀|추천웨딩홀|결혼식이벤트|결혼준비,https://weddingcrowd.kr/data/hall/2409/20240904020325_990524_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=458,458
라마다서울,서울 강남구,라마다서울|호텔분리예식|강남웨딩홀|단독웨딩홀|한정식웨딩홀추천|파티웨딩|교통이편리한웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210420180440_01.jpg,https://weddingcrowd.kr/hall/view.php?idx=12,12
라마다인천,인천 남동구,라마다인천|인천호텔웨딩홀|남동구웨딩홀|호텔웨딩홀|럭셔리웨딩홀|추천웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422110701_라-인.jpg,https://weddingcrowd.kr/hall/view.php?idx=1396,1396
라비두스,서울 중구,라비두스|중구인기웨딩홀|하우스웨딩|야외웨딩|단독웨딩홀|가든웨딩|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422165802_라비두.jpg,https://weddingcrowd.kr/hall/view.php?idx=1253,1253
라움웨딩센터,전북 전주시,,https://weddingcrowd.kr/data/hall/2406/20221012172832_1.jpg,https://weddingcrowd.kr/hall/view.php?idx=1039,1039
로얄호텔서울,서울 중구,로얄호텔서울|명동인기웨딩홀|호텔웨딩홀|서울웨딩홀|단독웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2412/20241211092706_632188_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=453,453
루나미엘레,서울특별시 영등포구,루나미엘레|여의도웨딩홀|영등포웨딩홀|한강뷰웨딩홀|유럽스타일|동시예식|인기웨딩홀|버진로드긴|여유로운예식|컨벤션웨딩홀|호텔형웨딩|고품격웨딩|결혼준비,https://weddingcrowd.kr/data/hall/2411/20241125042824_930340_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=265,265
루이비스 충정로,서울특별시 중구,루이비스충정로|중구웨딩홀|서울역웨딩홀|어두운웨딩홀|천고가높은|버진로드긴웨딩홀|서대문웨딩홀|충정로웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423160123_루이비스.jpg,https://weddingcrowd.kr/hall/view.php?idx=439,439
루이비스컨벤션웨딩홀,서울 송파구,루이비스문정|잠실웨딩홀|송파웨딩홀|컨벤션웨딩홀|뷔페맛집|높은천고|버진로드긴웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210223094620_dkahfltm.jpg,https://weddingcrowd.kr/hall/view.php?idx=1481,1481
마리아쥬스퀘어,서울 강남구,마리아쥬스퀘어|채플웨딩홀|강남구인기웨딩홀|서울웨딩홀|하우스웨딩홀|한정식웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210902124945_01.jpg,https://weddingcrowd.kr/hall/view.php?idx=799,799
분당앤스퀘어,경기 성남시,분당앤스퀘어|분당웨딩홀|단독건물|컨벤션웨딩홀|뷔페웨딩|버진로드긴|편리한주차|대중교통가까운|뷔페웨딩|웨딩홀맛집|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422095714_29.jpg,https://weddingcrowd.kr/hall/view.php?idx=1456,1456
빌라드지디 논현,서울 강남구,빌라드지디강남|하우스웨딩|정통하우스웨딩|야외웨딩홀|프라이빗웨딩|커스텀웨딩|플라워래핑|셰프미팅|플라워미팅|결혼준비,https://weddingcrowd.kr/data/hall/2409/20240912043200_528650_썸네일_고정-복구됨.jpg,https://weddingcrowd.kr/hall/view.php?idx=944,944
빌라드지디 수서,서울 강남구,빌라드지디수서|강남웨딩홀|하우스웨딩홀|핫플웨딩홀|자연광웨딩홀|프라이빗웨딩홀|유니크웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422102834_41.jpg,https://weddingcrowd.kr/hall/view.php?idx=1441,1441
빌라드지디 청담,서울 강남구,빌라드지디청담|하이엔드웨딩|하우스웨딩홀|프라이빗웨딩홀|단독대관웨딩홀|호텔웨딩|자연광웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422094814_20.jpg,https://weddingcrowd.kr/hall/view.php?idx=1465,1465
상록아트홀,서울특별시 강남구,상록아트홀|강남웨딩홀|테라스가든홀|버진로드긴웨딩홀|서울웨딩홀|하우스가든홀|결혼준비,"https://weddingcrowd.kr/data/hall/2406/20210422125019_상록아트홀_구,상록회관.jpg",https://weddingcrowd.kr/hall/view.php?idx=114,114
서울웨딩타워,서울 송파구,서울웨딩타워|송파구추천웨딩홀|호텔형웨딩홀|컨벤션웨딩홀|천고높은웨딩홀|단독웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422103308_43.jpg,https://weddingcrowd.kr/hall/view.php?idx=1439,1439
세인트메리엘,서울특별시 강남구,라비돌웨딩강남|강남구웨딩홀|채플웨딩|하우스웨딩|가든웨딩|강남웨딩|뷔페웨딩홀|웨딩홀맛집|사진잘나오는웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423161157_라비돌.jpg,https://weddingcrowd.kr/hall/view.php?idx=433,433
스타시티 아트홀,서울특별시 광진구,스타시티웨딩홀|건대웨딩홀|광진구웨딩홀|한정식맛집|천고가높은|스냅사진예쁜|교통맛집|예쁜신부대기실|결혼준비,https://weddingcrowd.kr/data/hall/2601/20260109031042_809317_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=46,46
안산 AW컨벤션,경기 안산시,,https://weddingcrowd.kr/data/hall/2407/20240716100316_885798_00.jpg,https://weddingcrowd.kr/hall/view.php?idx=1635,1635
안산호텔스퀘어,경기 안산시,안산웨딩홀|안산호텔웨딩|안산하우스웨딩,https://weddingcrowd.kr/data/hall/2601/20260113020355_243587_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1630,1630
알펜시아웨딩컨벤션,전북 전주시,,https://weddingcrowd.kr/data/hall/2406/20221012175002_1.jpg,https://weddingcrowd.kr/hall/view.php?idx=1012,1012
애일리하우스,서울 강남구,애일리하우스|선상웨딩|루프탑야외웨딩|스몰웨딩|강남구웨딩홀|한강배경웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210421181437_09.jpg,https://weddingcrowd.kr/hall/view.php?idx=1475,1475
엘블레스,서울 서초구,엘블레스|역세권웨딩홀|양재역웨딩홀|컨벤션웨딩홀|서초구인기웨딩홀|깔끔한웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2508/20250804101034_306810_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1383,1383
웨딩의전당,전북 전주시,,https://weddingcrowd.kr/data/hall/2406/20221012181016_1.jpg,https://weddingcrowd.kr/hall/view.php?idx=1042,1042
전주 N타워 컨벤션 웨딩,전북 전주시,,https://weddingcrowd.kr/data/hall/2406/20221014131634_22.jpg,https://weddingcrowd.kr/hall/view.php?idx=862,862
전주라한호텔,전북 전주시,,https://weddingcrowd.kr/data/hall/2406/20221014154411_1.jpg,https://weddingcrowd.kr/hall/view.php?idx=895,895
청주루체피에스타,충북 청주시,,https://weddingcrowd.kr/data/hall/2406/20220928110240_루체4.jpg,https://weddingcrowd.kr/hall/view.php?idx=535,535
토브헤세드,서울 강남구,토브헤세드|강남웨딩홀|하우스웨딩|스몰웨딩|예쁜웨딩홀|천고가높은홀|단독홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422101224_39.jpg,https://weddingcrowd.kr/hall/view.php?idx=1443,1443
헤리츠 웨딩컨벤션,서울 강남구,헤리츠웨딩컨벤션|조명이예쁜웨딩홀|컨벤션웨딩홀|채플웨딩홀|역세권웨딩홀|하우스웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422164012_헤리츠 웨딩컨벤션.jpg,https://weddingcrowd.kr/hall/view.php?idx=260,260
홀리데이 인 인천 송도,인천 연수구,홀리데이인인천송도|호텔웨딩홀|인천웨딩홀|연수구웨딩홀|천고가높은웨딩홀|단독웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422100713_36.jpg,https://weddingcrowd.kr/hall/view.php?idx=1446,1446
aT포레(구.더포레),서울특별시 서초구,AT포레|더포레|양재웨딩홀|강남웨딩홀|컨벤션웨딩홀|단독웨딩홀|결혼준비,"https://weddingcrowd.kr/data/hall/2406/20210422104702_aT포레_구,더포레.jpg",https://weddingcrowd.kr/hall/view.php?idx=99,99
AW컨벤션,경기 안산시,AW컨벤션|안산웨딩홀|컨벤션웨딩홀|추천웨딩홀|단독웨딩홀|럭셔리웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20220818151009_aw.jpg,https://weddingcrowd.kr/hall/view.php?idx=898,898
AW컨벤션센터,서울 종로구,AW컨벤션센터|컨벤션웨딩홀|종로구인기웨딩홀|프리미엄웨딩홀|호텔식웨딩홀|광화문웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422111431_AW컨벤션센터.jpg,https://weddingcrowd.kr/hall/view.php?idx=101,101
BMK웨딩홀,대전 중구,,https://weddingcrowd.kr/data/hall/2406/20220928165135_B.jpg,https://weddingcrowd.kr/hall/view.php?idx=1284,1284
CA웨딩컨벤션,충남 아산시,,https://weddingcrowd.kr/data/hall/2408/20240812030644_547777_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1120,1120
CN웨딩홀 계산점,인천광역시 계양구,CN웨딩홀계산점|인천인기웨딩홀|뷔페전용웨딩홀|컨벤션웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2505/20250529101033_503879_썸네일.png,https://weddingcrowd.kr/hall/view.php?idx=502,502
CN웨딩홀 일산점,경기 고양시,CN웨딩홀일산|일산웨딩홀|고양시추천웨딩홀|소규모웨딩|뷔페전문웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2408/20240812031223_513446_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=659,659
CN천년웨딩홀 주안점,인천광역시 남구,CN천년부페주안|뷔페전용웨딩홀|인천인기웨딩홀|인천남구웨딩홀|호텔식웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2408/20240821043841_895630_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=501,501
DMC타워웨딩,서울특별시 마포구,DMC타워컨벤션웨딩홀|마포구인기웨딩홀|컨벤션웨딩홀|서울웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422130403_70.jpg,https://weddingcrowd.kr/hall/view.php?idx=876,876
FKI플라자,서울 영등포구,,https://weddingcrowd.kr/data/hall/2407/20240725041105_460314_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1649,1649
